expanded_index,source_eps_index,equilibrium_index,equilibrium_label,pulse,t_s
0,0,0,p11419_20to160ms,11419,0.020228898152709007
1,0,0,p11419_20to160ms,11419,0.050672389566898346
2,0,0,p11419_20to160ms,11419,0.08002861589193344
3,0,0,p11419_20to160ms,11419,0.10286123305559158
4,0,0,p11419_20to160ms,11419,0.12732474505901337
5,0,0,p11419_20to160ms,11419,0.1583118736743927
6,1,0,p11419_20to160ms,11419,0.020228898152709007
7,1,0,p11419_20to160ms,11419,0.050672389566898346
8,1,0,p11419_20to160ms,11419,0.08002861589193344
9,1,0,p11419_20to160ms,11419,0.10286123305559158
10,1,0,p11419_20to160ms,11419,0.12732474505901337
11,1,0,p11419_20to160ms,11419,0.1583118736743927
12,2,0,p11419_20to160ms,11419,0.020228898152709007
13,2,0,p11419_20to160ms,11419,0.050672389566898346
14,2,0,p11419_20to160ms,11419,0.08002861589193344
15,2,0,p11419_20to160ms,11419,0.10286123305559158
16,2,0,p11419_20to160ms,11419,0.12732474505901337
17,2,0,p11419_20to160ms,11419,0.1583118736743927
18,3,0,p11419_20to160ms,11419,0.020228898152709007
19,3,0,p11419_20to160ms,11419,0.050672389566898346
20,3,0,p11419_20to160ms,11419,0.08002861589193344
21,3,0,p11419_20to160ms,11419,0.10286123305559158
22,3,0,p11419_20to160ms,11419,0.12732474505901337
23,3,0,p11419_20to160ms,11419,0.1583118736743927
24,4,0,p11419_20to160ms,11419,0.020228898152709007
25,4,0,p11419_20to160ms,11419,0.050672389566898346
26,4,0,p11419_20to160ms,11419,0.08002861589193344
27,4,0,p11419_20to160ms,11419,0.10286123305559158
28,4,0,p11419_20to160ms,11419,0.12732474505901337
29,4,0,p11419_20to160ms,11419,0.1583118736743927
30,5,0,p11419_20to160ms,11419,0.020228898152709007
31,5,0,p11419_20to160ms,11419,0.050672389566898346
32,5,0,p11419_20to160ms,11419,0.08002861589193344
33,5,0,p11419_20to160ms,11419,0.10286123305559158
34,5,0,p11419_20to160ms,11419,0.12732474505901337
35,5,0,p11419_20to160ms,11419,0.1583118736743927
36,6,0,p11419_20to160ms,11419,0.020228898152709007
37,6,0,p11419_20to160ms,11419,0.050672389566898346
38,6,0,p11419_20to160ms,11419,0.08002861589193344
39,6,0,p11419_20to160ms,11419,0.10286123305559158
40,6,0,p11419_20to160ms,11419,0.12732474505901337
41,6,0,p11419_20to160ms,11419,0.1583118736743927
42,7,0,p11419_20to160ms,11419,0.020228898152709007
43,7,0,p11419_20to160ms,11419,0.050672389566898346
44,7,0,p11419_20to160ms,11419,0.08002861589193344
45,7,0,p11419_20to160ms,11419,0.10286123305559158
46,7,0,p11419_20to160ms,11419,0.12732474505901337
47,7,0,p11419_20to160ms,11419,0.1583118736743927
48,8,0,p11419_20to160ms,11419,0.020228898152709007
49,8,0,p11419_20to160ms,11419,0.050672389566898346
50,8,0,p11419_20to160ms,11419,0.08002861589193344
51,8,0,p11419_20to160ms,11419,0.10286123305559158
52,8,0,p11419_20to160ms,11419,0.12732474505901337
53,8,0,p11419_20to160ms,11419,0.1583118736743927
54,9,0,p11419_20to160ms,11419,0.020228898152709007
55,9,0,p11419_20to160ms,11419,0.050672389566898346
56,9,0,p11419_20to160ms,11419,0.08002861589193344
57,9,0,p11419_20to160ms,11419,0.10286123305559158
58,9,0,p11419_20to160ms,11419,0.12732474505901337
59,9,0,p11419_20to160ms,11419,0.1583118736743927
60,10,0,p11419_20to160ms,11419,0.020228898152709007
61,10,0,p11419_20to160ms,11419,0.050672389566898346
62,10,0,p11419_20to160ms,11419,0.08002861589193344
63,10,0,p11419_20to160ms,11419,0.10286123305559158
64,10,0,p11419_20to160ms,11419,0.12732474505901337
65,10,0,p11419_20to160ms,11419,0.1583118736743927
66,11,0,p11419_20to160ms,11419,0.020228898152709007
67,11,0,p11419_20to160ms,11419,0.050672389566898346
68,11,0,p11419_20to160ms,11419,0.08002861589193344
69,11,0,p11419_20to160ms,11419,0.10286123305559158
70,11,0,p11419_20to160ms,11419,0.12732474505901337
71,11,0,p11419_20to160ms,11419,0.1583118736743927
72,12,0,p11419_20to160ms,11419,0.020228898152709007
73,12,0,p11419_20to160ms,11419,0.050672389566898346
74,12,0,p11419_20to160ms,11419,0.08002861589193344
75,12,0,p11419_20to160ms,11419,0.10286123305559158
76,12,0,p11419_20to160ms,11419,0.12732474505901337
77,12,0,p11419_20to160ms,11419,0.1583118736743927
78,13,0,p11419_20to160ms,11419,0.020228898152709007
79,13,0,p11419_20to160ms,11419,0.050672389566898346
80,13,0,p11419_20to160ms,11419,0.08002861589193344
81,13,0,p11419_20to160ms,11419,0.10286123305559158
82,13,0,p11419_20to160ms,11419,0.12732474505901337
83,13,0,p11419_20to160ms,11419,0.1583118736743927
84,14,0,p11419_20to160ms,11419,0.020228898152709007
85,14,0,p11419_20to160ms,11419,0.050672389566898346
86,14,0,p11419_20to160ms,11419,0.08002861589193344
87,14,0,p11419_20to160ms,11419,0.10286123305559158
88,14,0,p11419_20to160ms,11419,0.12732474505901337
89,14,0,p11419_20to160ms,11419,0.1583118736743927
90,15,0,p11419_20to160ms,11419,0.020228898152709007
91,15,0,p11419_20to160ms,11419,0.050672389566898346
92,15,0,p11419_20to160ms,11419,0.08002861589193344
93,15,0,p11419_20to160ms,11419,0.10286123305559158
94,15,0,p11419_20to160ms,11419,0.12732474505901337
95,15,0,p11419_20to160ms,11419,0.1583118736743927
96,16,0,p11419_20to160ms,11419,0.020228898152709007
97,16,0,p11419_20to160ms,11419,0.050672389566898346
98,16,0,p11419_20to160ms,11419,0.08002861589193344
99,16,0,p11419_20to160ms,11419,0.10286123305559158
100,16,0,p11419_20to160ms,11419,0.12732474505901337
101,16,0,p11419_20to160ms,11419,0.1583118736743927
102,17,0,p11419_20to160ms,11419,0.020228898152709007
103,17,0,p11419_20to160ms,11419,0.050672389566898346
104,17,0,p11419_20to160ms,11419,0.08002861589193344
105,17,0,p11419_20to160ms,11419,0.10286123305559158
106,17,0,p11419_20to160ms,11419,0.12732474505901337
107,17,0,p11419_20to160ms,11419,0.1583118736743927
108,18,0,p11419_20to160ms,11419,0.020228898152709007
109,18,0,p11419_20to160ms,11419,0.050672389566898346
110,18,0,p11419_20to160ms,11419,0.08002861589193344
111,18,0,p11419_20to160ms,11419,0.10286123305559158
112,18,0,p11419_20to160ms,11419,0.12732474505901337
113,18,0,p11419_20to160ms,11419,0.1583118736743927
114,19,0,p11419_20to160ms,11419,0.020228898152709007
115,19,0,p11419_20to160ms,11419,0.050672389566898346
116,19,0,p11419_20to160ms,11419,0.08002861589193344
117,19,0,p11419_20to160ms,11419,0.10286123305559158
118,19,0,p11419_20to160ms,11419,0.12732474505901337
119,19,0,p11419_20to160ms,11419,0.1583118736743927
120,20,0,p11419_20to160ms,11419,0.020228898152709007
121,20,0,p11419_20to160ms,11419,0.050672389566898346
122,20,0,p11419_20to160ms,11419,0.08002861589193344
123,20,0,p11419_20to160ms,11419,0.10286123305559158
124,20,0,p11419_20to160ms,11419,0.12732474505901337
125,20,0,p11419_20to160ms,11419,0.1583118736743927
126,21,0,p11419_20to160ms,11419,0.020228898152709007
127,21,0,p11419_20to160ms,11419,0.050672389566898346
128,21,0,p11419_20to160ms,11419,0.08002861589193344
129,21,0,p11419_20to160ms,11419,0.10286123305559158
130,21,0,p11419_20to160ms,11419,0.12732474505901337
131,21,0,p11419_20to160ms,11419,0.1583118736743927
132,22,0,p11419_20to160ms,11419,0.020228898152709007
133,22,0,p11419_20to160ms,11419,0.050672389566898346
134,22,0,p11419_20to160ms,11419,0.08002861589193344
135,22,0,p11419_20to160ms,11419,0.10286123305559158
136,22,0,p11419_20to160ms,11419,0.12732474505901337
137,22,0,p11419_20to160ms,11419,0.1583118736743927
138,23,0,p11419_20to160ms,11419,0.020228898152709007
139,23,0,p11419_20to160ms,11419,0.050672389566898346
140,23,0,p11419_20to160ms,11419,0.08002861589193344
141,23,0,p11419_20to160ms,11419,0.10286123305559158
142,23,0,p11419_20to160ms,11419,0.12732474505901337
143,23,0,p11419_20to160ms,11419,0.1583118736743927
144,24,0,p11419_20to160ms,11419,0.020228898152709007
145,24,0,p11419_20to160ms,11419,0.050672389566898346
146,24,0,p11419_20to160ms,11419,0.08002861589193344
147,24,0,p11419_20to160ms,11419,0.10286123305559158
148,24,0,p11419_20to160ms,11419,0.12732474505901337
149,24,0,p11419_20to160ms,11419,0.1583118736743927
150,25,0,p11419_20to160ms,11419,0.020228898152709007
151,25,0,p11419_20to160ms,11419,0.050672389566898346
152,25,0,p11419_20to160ms,11419,0.08002861589193344
153,25,0,p11419_20to160ms,11419,0.10286123305559158
154,25,0,p11419_20to160ms,11419,0.12732474505901337
155,25,0,p11419_20to160ms,11419,0.1583118736743927
156,26,0,p11419_20to160ms,11419,0.020228898152709007
157,26,0,p11419_20to160ms,11419,0.050672389566898346
158,26,0,p11419_20to160ms,11419,0.08002861589193344
159,26,0,p11419_20to160ms,11419,0.10286123305559158
160,26,0,p11419_20to160ms,11419,0.12732474505901337
161,26,0,p11419_20to160ms,11419,0.1583118736743927
162,27,0,p11419_20to160ms,11419,0.020228898152709007
163,27,0,p11419_20to160ms,11419,0.050672389566898346
164,27,0,p11419_20to160ms,11419,0.08002861589193344
165,27,0,p11419_20to160ms,11419,0.10286123305559158
166,27,0,p11419_20to160ms,11419,0.12732474505901337
167,27,0,p11419_20to160ms,11419,0.1583118736743927
168,28,0,p11419_20to160ms,11419,0.020228898152709007
169,28,0,p11419_20to160ms,11419,0.050672389566898346
170,28,0,p11419_20to160ms,11419,0.08002861589193344
171,28,0,p11419_20to160ms,11419,0.10286123305559158
172,28,0,p11419_20to160ms,11419,0.12732474505901337
173,28,0,p11419_20to160ms,11419,0.1583118736743927
174,29,0,p11419_20to160ms,11419,0.020228898152709007
175,29,0,p11419_20to160ms,11419,0.050672389566898346
176,29,0,p11419_20to160ms,11419,0.08002861589193344
177,29,0,p11419_20to160ms,11419,0.10286123305559158
178,29,0,p11419_20to160ms,11419,0.12732474505901337
179,29,0,p11419_20to160ms,11419,0.1583118736743927
180,30,0,p11419_20to160ms,11419,0.020228898152709007
181,30,0,p11419_20to160ms,11419,0.050672389566898346
182,30,0,p11419_20to160ms,11419,0.08002861589193344
183,30,0,p11419_20to160ms,11419,0.10286123305559158
184,30,0,p11419_20to160ms,11419,0.12732474505901337
185,30,0,p11419_20to160ms,11419,0.1583118736743927
186,31,0,p11419_20to160ms,11419,0.020228898152709007
187,31,0,p11419_20to160ms,11419,0.050672389566898346
188,31,0,p11419_20to160ms,11419,0.08002861589193344
189,31,0,p11419_20to160ms,11419,0.10286123305559158
190,31,0,p11419_20to160ms,11419,0.12732474505901337
191,31,0,p11419_20to160ms,11419,0.1583118736743927
192,32,0,p11419_20to160ms,11419,0.020228898152709007
193,32,0,p11419_20to160ms,11419,0.050672389566898346
194,32,0,p11419_20to160ms,11419,0.08002861589193344
195,32,0,p11419_20to160ms,11419,0.10286123305559158
196,32,0,p11419_20to160ms,11419,0.12732474505901337
197,32,0,p11419_20to160ms,11419,0.1583118736743927
198,33,0,p11419_20to160ms,11419,0.020228898152709007
199,33,0,p11419_20to160ms,11419,0.050672389566898346
200,33,0,p11419_20to160ms,11419,0.08002861589193344
201,33,0,p11419_20to160ms,11419,0.10286123305559158
202,33,0,p11419_20to160ms,11419,0.12732474505901337
203,33,0,p11419_20to160ms,11419,0.1583118736743927
204,34,0,p11419_20to160ms,11419,0.020228898152709007
205,34,0,p11419_20to160ms,11419,0.050672389566898346
206,34,0,p11419_20to160ms,11419,0.08002861589193344
207,34,0,p11419_20to160ms,11419,0.10286123305559158
208,34,0,p11419_20to160ms,11419,0.12732474505901337
209,34,0,p11419_20to160ms,11419,0.1583118736743927
210,35,0,p11419_20to160ms,11419,0.020228898152709007
211,35,0,p11419_20to160ms,11419,0.050672389566898346
212,35,0,p11419_20to160ms,11419,0.08002861589193344
213,35,0,p11419_20to160ms,11419,0.10286123305559158
214,35,0,p11419_20to160ms,11419,0.12732474505901337
215,35,0,p11419_20to160ms,11419,0.1583118736743927
216,36,0,p11419_20to160ms,11419,0.020228898152709007
217,36,0,p11419_20to160ms,11419,0.050672389566898346
