3.000831222534179688e+01,1.613218688964843750e+01,5.465583038330078125e+01,6.324710083007812500e+01,8.501522827148437500e+01,9.924221038818359375e+01,1.365048980712890625e+02,1.923953247070312500e+02,2.471488494873046875e+02,2.983646850585937500e+02,3.560072021484375000e+02,4.660740661621093750e+02,5.748856811523437500e+02,8.249960937500000000e+02,8.873964233398437500e+02,7.907816772460937500e+02,8.029591674804687500e+02,7.190491943359375000e+02,7.443538818359375000e+02,7.466799316406250000e+02,7.022058105468750000e+02,7.399771728515625000e+02,6.939978637695312500e+02,3.100000915527343750e+02,5.199771728515625000e+02,2.309438323974609375e+02,3.111849670410156250e+02,nan,3.832725830078125000e+02,7.465008544921875000e+02
nan,4.952665100097656250e+02,3.746950683593750000e+02,nan,4.885193634033203125e+01,4.524668273925781250e+02,2.590482521057128906e+01,2.654883384704589844e+01,1.391240596771240234e+01,9.700385093688964844e+00,1.638708877563476562e+01,2.912191009521484375e+01,6.038419723510742188e+01,1.211562652587890625e+02,1.922932281494140625e+02,2.697535705566406250e+02,3.295974426269531250e+02,4.911230468750000000e+02,6.605114746093750000e+02,7.807924804687500000e+02,8.810531005859375000e+02,9.988398437500000000e+02,9.514539184570312500e+02,7.351975097656250000e+02,6.756093750000000000e+02,3.853055114746093750e+02,1.716067199707031250e+02,1.036379852294921875e+02,4.268407058715820312e+01,4.028624725341796875e+01
3.126171875000000000e+02,nan,nan,2.218845558166503906e+01,2.292912864685058594e+01,1.811997604370117188e+01,3.675125503540039062e+01,2.435408401489257812e+01,1.852435684204101562e+01,3.065099716186523438e+01,4.222364044189453125e+01,7.134721374511718750e+01,1.065690460205078125e+02,1.651811218261718750e+02,2.574361572265625000e+02,3.863186340332031250e+02,5.128917846679687500e+02,5.746288452148437500e+02,5.643729858398437500e+02,6.100025634765625000e+02,5.814325561523437500e+02,6.334784545898437500e+02,5.997859497070312500e+02,5.078082580566406250e+02,5.100000915527343750e+02,3.591514587402343750e+02,1.116306915283203125e+02,6.542071533203125000e+01,2.468185806274414062e+01,6.430345153808593750e+01
2.222833442687988281e+01,4.347351074218750000e+01,2.841988754272460938e+01,2.314185523986816406e+01,2.805005264282226562e+01,1.878667259216308594e+01,1.406939697265625000e+01,1.779310989379882812e+01,3.381837463378906250e+01,1.517822933197021484e+01,9.738338470458984375e+00,1.279102897644042969e+01,1.440492916107177734e+01,2.133731460571289062e+01,4.397796630859375000e+01,9.572860717773437500e+01,1.430227661132812500e+02,2.430864410400390625e+02,2.898345642089843750e+02,3.179216308593750000e+02,3.446494445800781250e+02,4.051882019042968750e+02,4.890672912597656250e+02,4.262814941406250000e+02,3.670855712890625000e+02,3.366641540527343750e+02,2.389491424560546875e+02,1.625638580322265625e+02,7.426029205322265625e+01,4.271561813354492188e+01
nan,nan,5.754749298095703125e+01,7.817153167724609375e+01,3.204093551635742188e+01,1.377318382263183594e+01,2.056289482116699219e+01,2.456811714172363281e+01,6.028550338745117188e+01,1.580252227783203125e+02,1.767737884521484375e+02,2.773994750976562500e+02,3.479385986328125000e+02,5.406759033203125000e+02,6.717144775390625000e+02,8.617769165039062500e+02,9.855513916015625000e+02,9.798749389648437500e+02,1.037914672851562500e+03,1.050644287109375000e+03,1.118842163085937500e+03,1.195815917968750000e+03,1.176080444335937500e+03,9.743937988281250000e+02,9.680252075195312500e+02,6.202697753906250000e+02,3.255865478515625000e+02,1.995094299316406250e+02,1.149098587036132812e+02,7.430017089843750000e+01
3.701070785522460938e+01,7.412581634521484375e+01,3.927701568603515625e+01,1.452765560150146484e+01,1.442545413970947266e+01,3.655904769897460938e+01,7.393630218505859375e+01,1.220725479125976562e+02,1.402895355224609375e+02,2.351962890625000000e+02,2.749393920898437500e+02,4.173942565917968750e+02,5.298878173828125000e+02,7.536255493164062500e+02,9.474540405273437500e+02,1.139676879882812500e+03,1.244715087890625000e+03,1.227238159179687500e+03,1.184479370117187500e+03,1.187560913085937500e+03,1.210000000000000000e+03,1.296352050781250000e+03,1.299667480468750000e+03,1.104243041992187500e+03,9.379122924804687500e+02,5.630850219726562500e+02,2.973966064453125000e+02,1.856084136962890625e+02,1.212125396728515625e+02,8.468294525146484375e+01
5.464157104492187500e+01,5.626916122436523438e+01,1.560639762878417969e+01,2.026630592346191406e+01,2.230563354492187500e+01,1.708141899108886719e+01,2.974244499206542969e+01,1.047611160278320312e+02,1.226788177490234375e+02,1.919100189208984375e+02,2.377418670654296875e+02,3.474423522949218750e+02,4.465299682617187500e+02,6.675956420898437500e+02,8.089639282226562500e+02,1.012246398925781250e+03,1.191192138671875000e+03,1.259690063476562500e+03,1.312440917968750000e+03,1.318332641601562500e+03,1.345137084960937500e+03,1.505994995117187500e+03,1.431337036132812500e+03,1.078771728515625000e+03,9.123739624023437500e+02,5.542281494140625000e+02,2.888985290527343750e+02,1.931244659423828125e+02,1.156879882812500000e+02,8.374949645996093750e+01
1.102878051757812500e+03,1.950000000000000000e+04,2.455634117126464844e+01,4.027182006835937500e+01,8.026618957519531250e+01,1.553399467468261719e+01,1.344838714599609375e+01,1.652250099182128906e+01,2.344009208679199219e+01,7.939863586425781250e+01,1.255789947509765625e+02,1.772490386962890625e+02,2.282819213867187500e+02,3.838387451171875000e+02,5.214588623046875000e+02,6.714017333984375000e+02,7.753187866210937500e+02,8.415416870117187500e+02,8.215139160156250000e+02,8.017427978515625000e+02,8.539430541992187500e+02,9.195800170898437500e+02,8.772519531250000000e+02,8.223124389648437500e+02,8.277703247070312500e+02,6.394648437500000000e+02,3.649201965332031250e+02,1.984418334960937500e+02,1.135894546508789062e+02,8.134214019775390625e+01
nan,1.604595184326171875e+02,7.121111450195312500e+02,4.338120651245117188e+01,1.232035255432128906e+01,2.886447715759277344e+01,7.790108489990234375e+01,1.124492492675781250e+02,1.711428527832031250e+02,2.424701232910156250e+02,2.908466491699218750e+02,3.965541687011718750e+02,4.843118896484375000e+02,6.193647460937500000e+02,7.395651245117187500e+02,8.748423461914062500e+02,9.536286010742187500e+02,9.593799438476562500e+02,9.465772094726562500e+02,9.493563232421875000e+02,9.580867919921875000e+02,1.009785888671875000e+03,9.899932250976562500e+02,7.161837158203125000e+02,5.674206542968750000e+02,3.329420471191406250e+02,1.548018646240234375e+02,8.373450469970703125e+01,7.604583740234375000e+01,2.201823883056640625e+02
7.462941741943359375e+01,nan,6.637409210205078125e+01,1.328239440917968750e+01,8.067353820800781250e+01,2.027984771728515625e+02,2.492420654296875000e+02,3.060367431640625000e+02,3.310040893554687500e+02,3.662001647949218750e+02,4.246344299316406250e+02,5.550042114257812500e+02,6.695944824218750000e+02,8.566063232421875000e+02,8.960573730468750000e+02,9.240341186523437500e+02,9.586741333007812500e+02,9.306694335937500000e+02,9.049142456054687500e+02,9.355200805664062500e+02,9.408231811523437500e+02,9.766776123046875000e+02,9.730725708007812500e+02,7.326516723632812500e+02,5.711655883789062500e+02,3.857045898437500000e+02,2.592163391113281250e+02,1.130403137207031250e+02,6.311892700195312500e+01,nan
